States,Weather,Spotifyplayer
Alabama,58,https://open.spotify.com/user/thesoundsofspotify/playlist/2WYhlc3Qyaln5OO9swIbFJ
Alaska,46,https://open.spotify.com/user/thesoundsofspotify/playlist/0JVQy18o8hYsaWJMIHruCl
Arizona,72,https://open.spotify.com/user/thesoundsofspotify/playlist/7yCHCnDBIJXIXauiQZSMoU
Arkansas,60,https://open.spotify.com/user/spotifycharts/playlist/37i9dQZEVXbLRQDuF5jeBp
California,54,https://open.spotify.com/user/thesoundsofspotify/playlist/2dTDk8itI4lEszeKFIbPgT
Colorado,53,https://open.spotify.com/user/thesoundsofspotify/playlist/4EVnKjHxMesvcl7MyVLunQ
Connecticut,45,https://open.spotify.com/user/thesoundsofspotify/playlist/6B1pp9T57stDIuZOcd0vsH
Delaware,45,https://open.spotify.com/user/thesoundsofspotify/playlist/030RcZAkMyP01LW2uzF6b3
Florida,75,https://open.spotify.com/user/thesoundsofspotify/playlist/3GZrfebvyFZCIwNlzi6IMj
Georgia,53,https://open.spotify.com/user/thesoundsofspotify/playlist/2t6uU8AELDRclkCaw1vydr
Hawaii,71,https://open.spotify.com/user/thesoundsofspotify/playlist/5FwRaDFo4hgJKh05BF0WFo
Idaho,44,https://open.spotify.com/user/thesoundsofspotify/playlist/5bEVG5atW9TxNIZzoYb5g3
Illnois,63,https://open.spotify.com/user/thesoundsofspotify/playlist/3lLWu2unpjO8axXaNFHdyU
Indiana,55,https://open.spotify.com/user/thesoundsofspotify/playlist/04ocWIF2TsDFdwJaEYqaO8
Iowa,70,https://open.spotify.com/user/thesoundsofspotify/playlist/0nAxcvUmADzpdOqjmuEWwV
Kansas,70,https://open.spotify.com/user/thesoundsofspotify/playlist/2E3yDYPNeAxl1Q6ADoq2Jt
Kentucky,51,https://open.spotify.com/user/thesoundsofspotify/playlist/1XECJmgGOraI0x6AZ9oQZT
Louisiana,66,https://open.spotify.com/user/thesoundsofspotify/playlist/03OmKCbJIISMDLx0Zlm1KJ
Maine,38,https://open.spotify.com/user/thesoundsofspotify/playlist/6SXqTPTGz3FXZ7JZgrTa6S
Maryland,56,https://open.spotify.com/user/thesoundsofspotify/playlist/4tViTq1oyO0k4d4EUjhEXA
Massachusetts,45,https://open.spotify.com/user/thesoundsofspotify/playlist/4OrjMAEQrLcXHR9BCUZm3M
Michigan,55,https://open.spotify.com/user/thesoundsofspotify/playlist/2lJ39UXqkmjf88Pb0jb3YM
Minnesota,70,https://open.spotify.com/user/thesoundsofspotify/playlist/5J22yTfKjgPfT7pf6MmV1j
Mississippi,58,https://open.spotify.com/user/thesoundsofspotify/playlist/5YeIpS04ZMVu7J1x6gEVEM
Missouri,70,https://open.spotify.com/user/thesoundsofspotify/playlist/555d9l95S69xBbivyUhKLf
Montana,43,https://open.spotify.com/user/thesoundsofspotify/playlist/5fSr8IPCqKwbYz7wNFgIZV
Nebraska,69,https://open.spotify.com/user/thesoundsofspotify/playlist/5cQsbkbekJyN9TRFpSOHSM
Nevada,67,https://open.spotify.com/user/thesoundsofspotify/playlist/16olvYpf0K5nWJ98Oxa4TG
New Hampshire,39,https://open.spotify.com/user/spotifycharts/playlist/37i9dQZEVXbLRQDuF5jeBp
New Jersey,47,https://open.spotify.com/user/thesoundsofspotify/playlist/1v5OsVWsXI4PDhQTOLyIkQ
New Mexico,53,https://open.spotify.com/user/thesoundsofspotify/playlist/7m4LG5LciiTZFaOpFQrhd2
New York,49,https://open.spotify.com/user/thesoundsofspotify/playlist/1TyZihjHVxRiLgIIQ8doRz
North Carolina,50,https://open.spotify.com/user/thesoundsofspotify/playlist/6yDarUVWRKA96Cte7PsQNn
North Dakota,38,https://open.spotify.com/user/spotifycharts/playlist/37i9dQZEVXbKuaTI1Z1Afx
Ohio,47,https://open.spotify.com/user/thesoundsofspotify/playlist/63IcMSzNQKW5rVjtwaKGqV
Oklahoma,68,https://open.spotify.com/user/thesoundsofspotify/playlist/46CqbPdGJYUtYF3ateOXhW
Oregon,52,https://open.spotify.com/user/thesoundsofspotify/playlist/0HsJZbNs7Psso4CLacznRn
Pennsylvania,46,https://open.spotify.com/user/thesoundsofspotify/playlist/7iGREUHOTdfu68mnq3FHnS
Rhode Island,44,https://open.spotify.com/user/thesoundsofspotify/playlist/5fC4zqIwXjXaMu2VRDXD9l
South Carolina,50,https://open.spotify.com/user/thesoundsofspotify/playlist/17fzDcj9xPuGZOEkRknqZD
South Dakota,59,https://open.spotify.com/user/thesoundsofspotify/playlist/6SXqTPTGz3FXZ7JZgrTa6S
Tennessee,51,https://open.spotify.com/user/thesoundsofspotify/playlist/0Cp5VwwUDM4GOJKEEijhjJ
Texas,71,https://open.spotify.com/user/thesoundsofspotify/playlist/5Zn1jXmigFBWu1Q2mx6uoR
Utah,44,https://open.spotify.com/user/thesoundsofspotify/playlist/6QDOSi0WJlVl1icF6F37vd
Vermont,45,https://open.spotify.com/user/spotifycharts/playlist/37i9dQZEVXbLRQDuF5jeBp
Virginia,47,https://open.spotify.com/user/thesoundsofspotify/playlist/5YeIpS04ZMVu7J1x6gEVEM
Washington,52,https://open.spotify.com/user/thesoundsofspotify/playlist/6okdkvP0J4LID0HV92R6qV
West Virginia,43,https://open.spotify.com/user/thesoundsofspotify/playlist/63IcMSzNQKW5rVjtwaKGqV
Wisconsin,63,https://open.spotify.com/user/thesoundsofspotify/playlist/0IamavmnOywqepvNOuJwRt
Wyoming,38,https://open.spotify.com/user/spotifycharts/playlist/37i9dQZEVXbKuaTI1Z1Afx
